Section name,Ti,TiD
BISH-BABOGAYA11-1A-1U-10A,0.047708587,477.08587
BISH-BABOGAYA11-1A-1U-10A,0.053916929,539.16929
BISH-BABOGAYA11-1A-1U-10A,0.05865479,586.5479
BISH-BABOGAYA11-1A-1U-10A,0.060239123,602.39123
BISH-BABOGAYA11-1A-1U-10A,0.061664574,616.64574
BISH-BABOGAYA11-1A-1U-10A,0.062458447,624.58447
BISH-BABOGAYA11-1A-1U-10A,0.057736972,577.36972
BISH-BABOGAYA11-1A-1U-10A,0.057224658,572.24658
BISH-BABOGAYA11-1A-1U-10A,0.053104398,531.04398
BISH-BABOGAYA11-1A-1U-10A,0.043851734,438.51734
BISH-BABOGAYA11-1A-1U-10A,0.041312838,413.12838
BISH-BABOGAYA11-1A-1U-10A,0.040765162,407.65162
BISH-BABOGAYA11-1A-1U-10A,0.036847777,368.47777
BISH-BABOGAYA11-1A-1U-10A,0.044819598,448.19598
BISH-BABOGAYA11-1A-1U-10A,0.042339911,423.39911
BISH-BABOGAYA11-1A-1U-10A,0.042382918,423.82918
BISH-BABOGAYA11-1A-1U-10A,0.040228449,402.28449
BISH-BABOGAYA11-1A-1U-10A,0.043028122,430.28122
BISH-BABOGAYA11-1A-1U-10A,0.040665107,406.65107
BISH-BABOGAYA11-1A-1U-10A,0.035223733,352.23733
BISH-BABOGAYA11-1A-1U-10A,0.034814175,348.14175
BISH-BABOGAYA11-1A-1U-10A,0.03140275,314.0275
BISH-BABOGAYA11-1A-1U-10A,0.025858572,258.58572
BISH-BABOGAYA11-1A-1U-10A,0.026703959,267.03959
BISH-BABOGAYA11-1A-1U-10A,0.026120146,261.20146
BISH-BABOGAYA11-1A-1U-10A,0.026092434,260.92434
BISH-BABOGAYA11-1A-1U-10A,0.025754474,257.54474
BISH-BABOGAYA11-1A-1U-10A,0.034209288,342.09288
BISH-BABOGAYA11-1A-1U-10A,0.033767277,337.67277
BISH-BABOGAYA11-1A-1U-10A,0.033312812,333.12812
BISH-BABOGAYA11-1A-1U-10A,0.034599243,345.99243
BISH-BABOGAYA11-1A-1U-10A,0.034254328,342.54328
BISH-BABOGAYA11-1A-1U-10A,0.033763391,337.63391
BISH-BABOGAYA11-1A-1U-10A,0.03573314,357.3314
BISH-BABOGAYA11-1A-1U-10A,0.034701166,347.01166
BISH-BABOGAYA11-1A-1U-10A,0.032874022,328.74022
BISH-BABOGAYA11-1A-1U-10A,0.034880174,348.80174
BISH-BABOGAYA11-1A-1U-10A,0.030262207,302.62207
BISH-BABOGAYA11-1A-1U-10A,0.027994922,279.94922
BISH-BABOGAYA11-1A-1U-10A,0.032313658,323.13658
BISH-BABOGAYA11-1A-1U-10A,0.036632582,366.32582
BISH-BABOGAYA11-1A-1U-10A,0.040264935,402.64935
BISH-BABOGAYA11-1A-1U-10A,0.042685681,426.85681
BISH-BABOGAYA11-1A-1U-10A,0.037186556,371.86556
BISH-BABOGAYA11-1A-1U-10A,0.033428627,334.28627
BISH-BABOGAYA11-1A-1U-10A,0.030686275,306.86275
BISH-BABOGAYA11-1A-1U-10A,0.032850466,328.50466
BISH-BABOGAYA11-1A-1U-10A,0.035635752,356.35752
BISH-BABOGAYA11-1A-1U-10A,0.037883264,378.83264
BISH-BABOGAYA11-1A-1U-10A,0.037880992,378.80992
BISH-BABOGAYA11-1A-1U-10A,0.036675053,366.75053
BISH-BABOGAYA11-1A-1U-10A,0.037231441,372.31441
BISH-BABOGAYA11-1A-1U-10A,0.03764068,376.4068
BISH-BABOGAYA11-1A-1U-10A,0.040718792,407.18792
BISH-BABOGAYA11-1A-1U-10A,0.045527722,455.27722
BISH-BABOGAYA11-1A-1U-10A,0.046853377,468.53377
BISH-BABOGAYA11-1A-1U-10A,0.051443157,514.43157
BISH-BABOGAYA11-1A-1U-10A,0.04236031,423.6031
BISH-BABOGAYA11-1A-1U-10A,0.040221184,402.21184
BISH-BABOGAYA11-1A-1U-10A,0.037242057,372.42057
BISH-BABOGAYA11-1A-1U-10A,0.035218713,352.18713
BISH-BABOGAYA11-1A-1U-10A,0.036960721,369.60721
BISH-BABOGAYA11-1A-1U-10A,0.030389057,303.89057
BISH-BABOGAYA11-1A-1U-10A,0.027857921,278.57921
BISH-BABOGAYA11-1A-1U-10A,0.026915639,269.15639
BISH-BABOGAYA11-1A-1U-10A,0.026440485,264.40485
BISH-BABOGAYA11-1A-1U-10A,0.026384181,263.84181
BISH-BABOGAYA11-1A-1U-10A,0.027517465,275.17465
BISH-BABOGAYA11-1A-1U-10A,0.026973647,269.73647
BISH-BABOGAYA11-1A-1U-10A,0.027549318,275.49318
BISH-BABOGAYA11-1A-1U-10A,0.025796315,257.96315
BISH-BABOGAYA11-1A-1U-10A,0.026203102,262.03102
BISH-BABOGAYA11-1A-1U-10A,0.020011922,200.11922
BISH-BABOGAYA11-1A-1U-10A,0.019593367,195.93367
BISH-BABOGAYA11-1A-1U-10A,0.021014057,210.14057
BISH-BABOGAYA11-1A-1U-10A,0.029953917,299.53917
BISH-BABOGAYA11-1A-1U-10A,0.029234862,292.34862
BISH-BABOGAYA11-1A-1U-10A,0.031390917,313.90917
BISH-BABOGAYA11-1A-1U-10A,0.033121624,331.21624
BISH-BABOGAYA11-1A-1U-10A,0.026907009,269.07009
BISH-BABOGAYA11-1A-1U-10A,0.024583019,245.83019
BISH-BABOGAYA11-1A-1U-10A,0.030780935,307.80935
BISH-BABOGAYA11-1A-1U-10A,0.027090271,270.90271
BISH-BABOGAYA11-1A-1U-10A,0.02380745,238.0745
BISH-BABOGAYA11-1A-1U-10A,0.022454078,224.54078
BISH-BABOGAYA11-1A-1U-10A,0.027800221,278.00221
BISH-BABOGAYA11-1A-1U-10A,0.028746105,287.46105
BISH-BABOGAYA11-1A-1U-10A,0.028605236,286.05236
BISH-BABOGAYA11-1A-1U-10A,0.028583301,285.83301
BISH-BABOGAYA11-1A-1U-10A,0.025869469,258.69469
BISH-BABOGAYA11-1A-1U-10A,0.026649633,266.49633
BISH-BABOGAYA11-1A-1U-10A,0.032330716,323.30716
BISH-BABOGAYA11-1A-1U-10A,0.036833308,368.33308
BISH-BABOGAYA11-1A-1U-10A,0.030053982,300.53982
BISH-BABOGAYA11-1A-1U-10A,0.023238947,232.38947
BISH-BABOGAYA11-1A-1U-10A,0.020587,205.87
BISH-BABOGAYA11-1A-1U-10A,0.022803649,228.03649
BISH-BABOGAYA11-1A-1U-10A,0.025575149,255.75149
BISH-BABOGAYA11-1A-1U-10A,0.027196833,271.96833
BISH-BABOGAYA11-1A-1U-10A,0.022806968,228.06968
BISH-BABOGAYA11-1A-1U-10A,0.028934614,289.34614
BISH-BABOGAYA11-1A-1U-10A,0.026324294,263.24294
BISH-BABOGAYA11-1A-1U-10A,0.021727353,217.27353
BISH-BABOGAYA11-1A-1U-10A,0.023649821,236.49821
BISH-BABOGAYA11-1A-1U-10A,0.025417739,254.17739
BISH-BABOGAYA11-1A-1U-10A,0.023743056,237.43056
