Section,Depth between samples (cm),position in section (mm),position in section (cm),Position in composite (cm),Composite depth (m),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Ca,Fe,Ti,TiD,Mo inc,Mo coh,Inc+Coh,Inc.Coh,,Ca (/inc+coh),Fe (/inc+coh),Ti (/inc+coh),Zr (/inc+coh),Rb (/inc+coh),Mn (/inc+coh),Sr (/inc+coh),K (/inc+coh),Si (/inc+coh),,SiTi,FeMn,Zr:Rb
BISH-BABOGAYA11-1A-1U-9B,0.02,569.4,56.94,786.45,7.8645,6.9,1,0.01835,-0.019443,0.007015,0.1074,16758,1.73,11572,62624,0.101129461,1011.29461,16733,4339,21072,3.85641853,,0.549164768,2.971905847,0.101129461,0.036399013,0.026385725,0.06003227,0.13368451,0.053103645,0.010155657,,0.100422337,49.5051386,1.379496413
BISH-BABOGAYA11-1A-1U-9B,0.02,569.6,56.96,786.47,7.8647,6.9,1,0.018354,-0.019443,0.007058,0.1074,16707,1.45,11308,62855,0.091717361,917.17361,16717,4653,21370,3.592735869,,0.529153018,2.941272812,0.091717361,0.035095929,0.020917174,0.058352831,0.133692092,0.0491343,0.00982686,,0.107142857,50.40497199,1.677852324
BISH-BABOGAYA11-1A-1U-9B,0.02,569.8,56.98,786.49,7.8649,6.9,1,0.018354,-0.019443,0.007013,0.1074,16759,1.46,11287,64797,0.104805382,1048.05382,16219,4591,20810,3.532781529,,0.542383469,3.113743393,0.104805382,0.041806824,0.025756848,0.053387794,0.140557424,0.05396444,0.011677078,,0.111416781,58.32313268,1.623134321
BISH-BABOGAYA11-1A-1U-9B,0.02,570,57,786.51,7.8651,6.9,1,0.018353,-0.019443,0.006981,0.1074,16599,1.54,10929,62771,0.097410784,974.10784,15993,4631,20624,3.453465774,,0.529916602,3.043589992,0.097410784,0.026231575,0.023128394,0.05609969,0.132467029,0.055857254,0.009842901,,0.101045296,54.25324083,1.134171919
BISH-BABOGAYA11-1A-1U-9B,0.02,570.2,57.02,786.53,7.8653,6.9,1,0.018351,-0.019443,0.007001,0.1074,16493,1.51,11759,61803,0.092600564,926.00564,16172,4735,20907,3.415417107,,0.562443201,2.956091261,0.092600564,0.029176831,0.02750275,0.050413737,0.130195628,0.053092266,0.010283637,,0.111053719,58.63662242,1.060869586
BISH-BABOGAYA11-1A-1U-9B,0.02,570.4,57.04,786.55,7.8655,6.9,1,0.018354,-0.019443,0.006977,0.1074,16419,1.69,14395,60112,0.091307951,913.07951,15956,4557,20513,3.501426377,,0.70175011,2.930434359,0.091307951,0.032320967,0.029542242,0.050114561,0.134987569,0.0514308,0.009749915,,0.106780566,58.47470876,1.094059381
BISH-BABOGAYA11-1A-1U-9B,0.02,570.6,57.06,786.57,7.8657,6.9,1,0.018356,-0.019443,0.006944,0.1074,16423,1.58,14494,62273,0.100680406,1006.80406,15704,4578,20282,3.430318917,,0.714623804,3.070357953,0.100680406,0.033872399,0.022581599,0.058327581,0.140222858,0.056404694,0.011981067,,0.119000979,52.63989866,1.500000022
BISH-BABOGAYA11-1A-1U-9B,0.02,570.8,57.08,786.59,7.8659,6.9,1,0.018357,-0.019443,0.006965,0.1074,16352,1.63,14679,64524,0.103879912,1038.79912,15564,4488,20052,3.467914439,,0.732046679,3.217833633,0.103879912,0.041143028,0.027977259,0.059046479,0.13464991,0.059545183,0.01181927,,0.113778205,54.49662177,1.470588237
BISH-BABOGAYA11-1A-1U-9B,0.02,571,57.1,786.61,7.8661,6.9,1,0.018358,-0.019443,0.007003,0.1074,16994,1.6,13548,75275,0.130254857,1302.54857,15047,4768,19815,3.155830537,,0.683724451,3.79888973,0.130254857,0.040171587,0.031491294,0.064244259,0.14115569,0.069442342,0.012717638,,0.097636575,59.13197209,1.275641039
BISH-BABOGAYA11-1A-1U-9B,0.02,571.2,57.12,786.63,7.8663,6.9,1,0.018352,-0.019443,0.00703,0.1074,17436,1.36,13755,81321,0.128518724,1285.18724,15058,4729,19787,3.184182702,,0.695153384,4.109819579,0.128518724,0.045636024,0.032091777,0.063223328,0.134836003,0.073078284,0.011825946,,0.092017302,65.00479663,1.422047274
BISH-BABOGAYA11-1A-1U-9B,0.02,571.4,57.14,786.65,7.8665,6.9,1,0.018353,-0.019443,0.007048,0.1074,17669,1.44,11489,86311,0.133538829,1335.38829,15422,4692,20114,3.28687127,,0.571194193,4.291090783,0.133538829,0.043551755,0.035597097,0.062742368,0.127721985,0.077508203,0.01292632,,0.096798213,68.3922351,1.223463672
BISH-BABOGAYA11-1A-1U-9B,0.02,571.6,57.16,786.67,7.8667,6.9,1,0.018352,-0.019443,0.006966,0.1074,17881,1.47,10825,89436,0.145283499,1452.83499,15112,4553,19665,3.319130244,,0.550470379,4.547978642,0.145283499,0.059344012,0.032595983,0.053597763,0.124434274,0.085583524,0.013831681,,0.09520476,84.85388918,1.820592801
